epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,1416.05,0.3115,0.35534,0.22734,0.90197,0.99968,1,0.995,0.98959,0.99968,1,0.995,0.99228,0.22101,0.2943,0.16008,0.81543,0.0014456,0.0014456,0.0014456
86,1431.38,0.30996,0.34162,0.22554,0.90883,0.99967,1,0.995,0.97913,0.99967,1,0.995,0.9914,0.26681,0.30919,0.19495,0.84282,0.001439,0.001439,0.001439
87,1451.54,0.32515,0.35374,0.23985,0.91111,0.99964,1,0.995,0.98047,0.99964,1,0.995,0.99051,0.22362,0.29699,0.17448,0.81464,0.0014324,0.0014324,0.0014324
88,1473.91,0.31841,0.3369,0.22819,0.91148,0.99963,1,0.995,0.98288,0.99963,1,0.995,0.98868,0.25372,0.29324,0.17597,0.82756,0.0014258,0.0014258,0.0014258
89,1502.49,0.31557,0.3739,0.22581,0.91285,0.99964,1,0.995,0.98221,0.99964,1,0.995,0.98572,0.24041,0.30837,0.1745,0.81995,0.0014192,0.0014192,0.0014192
90,1526.61,0.30305,0.35621,0.21814,0.91046,0.97679,0.97701,0.9923,0.97578,0.97679,0.97701,0.9923,0.98645,0.24855,0.29784,0.23329,0.82803,0.0014126,0.0014126,0.0014126
91,1539.17,0.31449,0.35957,0.22398,0.91041,0.99955,1,0.995,0.98328,0.99955,1,0.995,0.99097,0.23306,0.2951,0.16528,0.82207,0.001406,0.001406,0.001406
92,1558.3,0.3178,0.35956,0.22477,0.90935,0.99934,1,0.995,0.98069,0.99934,1,0.995,0.99134,0.23263,0.29215,0.16648,0.82321,0.0013994,0.0013994,0.0013994
93,1573.16,0.33397,0.38325,0.22761,0.91713,0.99958,1,0.995,0.97507,0.99958,1,0.995,0.98771,0.27871,0.30111,0.23027,0.86,0.0013928,0.0013928,0.0013928
94,1593.77,0.32553,0.36938,0.22746,0.91122,0.99966,1,0.995,0.97659,0.99966,1,0.995,0.98857,0.25219,0.28846,0.16565,0.83039,0.0013862,0.0013862,0.0013862
95,1625.69,0.31697,0.37569,0.22679,0.90439,0.99964,1,0.995,0.97774,0.99964,1,0.995,0.98441,0.26555,0.29528,0.21009,0.85568,0.0013796,0.0013796,0.0013796
96,1642.99,0.31585,0.35583,0.22145,0.8995,0.98746,0.98851,0.99472,0.97252,0.98746,0.98851,0.99472,0.98711,0.26383,0.29596,0.21588,0.84355,0.001373,0.001373,0.001373
97,1660.08,0.32569,0.39234,0.2245,0.91051,0.99704,1,0.995,0.98005,0.99704,1,0.995,0.98759,0.23816,0.28689,0.18074,0.82996,0.0013664,0.0013664,0.0013664
98,1677.46,0.32595,0.38582,0.22309,0.90686,0.99961,1,0.995,0.98507,0.99961,1,0.995,0.9888,0.22389,0.29591,0.15778,0.80809,0.0013598,0.0013598,0.0013598
99,1699.97,0.31509,0.36177,0.22386,0.91223,0.99966,1,0.995,0.98117,0.99966,1,0.995,0.99087,0.22946,0.30371,0.16988,0.81467,0.0013532,0.0013532,0.0013532
100,1719.51,0.30692,0.36469,0.21178,0.90076,0.99963,1,0.995,0.98499,0.99963,1,0.995,0.99225,0.22427,0.28308,0.18739,0.81731,0.0013466,0.0013466,0.0013466
101,1740.28,0.2999,0.3511,0.21442,0.90337,0.99958,1,0.995,0.98138,0.99958,1,0.995,0.99088,0.23444,0.29541,0.17897,0.81863,0.00134,0.00134,0.00134
102,1761.15,0.30564,0.36163,0.21793,0.90791,0.99967,1,0.995,0.98694,0.99967,1,0.995,0.99102,0.23978,0.29704,0.18676,0.82082,0.0013334,0.0013334,0.0013334
103,1779.8,0.33364,0.39748,0.23533,0.91618,0.99943,1,0.995,0.97897,0.99943,1,0.995,0.98962,0.23682,0.29591,0.19015,0.83231,0.0013268,0.0013268,0.0013268
104,1792.43,0.32097,0.35632,0.21948,0.90708,0.9982,1,0.995,0.98197,0.9982,1,0.995,0.98749,0.23596,0.3007,0.18291,0.82372,0.0013202,0.0013202,0.0013202
